2026-02-02 15:11:56,463 - INFO - Starting Doom Agent with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,237 - INFO - Game initialized with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,239 - INFO - Starting new episode
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,259 - INFO - Episode started successfully
2026-02-02 15:12:03,363 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,414 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,414 - INFO - Step 140: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:03,489 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,549 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,598 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,646 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,695 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,746 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,792 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,843 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,889 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,938 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:03,986 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,047 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,097 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,147 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,195 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,250 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,299 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,349 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,406 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,464 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,464 - INFO - Step 160: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:04,515 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,572 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,620 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,674 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,725 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,775 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,825 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,876 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,924 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:04,976 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,033 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,091 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,152 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,207 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,259 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,315 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,370 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,423 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,481 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,533 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,533 - INFO - Step 180: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:05,585 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,634 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,682 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,732 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,789 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,840 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,888 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:05,937 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
